700,500,500,500,500,500,700,500,700,700,700,300
700,500,700,700,300,300,500,700,700,700,700,700
700,700,300,700,500,300,500,500,500,300,700,700
300,300,300,500,700,500,300,700,500,500,300,500
700,700,300,300,300,700,500,700,500,700,700,500
500,300,500,500,300,500,300,300,700,700,500,700
700,500,700,500,500,700,500,300,500,500,700,500
300,700,700,700,300,700,700,700,300,500,300,700
500,700,500,500,300,300,700,300,700,500,300,700
300,700,300,700,300,700,500,300,300,300,300,500
500,500,700,300,300,300,500,700,500,500,700,500
300,500,500,500,500,700,700,500,300,700,300,300
300,300,700,500,700,700,300,500,700,300,300,500
700,300,300,300,300,300,300,500,500,300,700,500
700,300,500,700,300,500,700,300,500,300,500,300
500,300,700,700,500,300,700,300,700,500,700,300
500,300,500,700,700,300,700,700,700,500,300,700
700,300,700,700,500,500,500,700,500,300,700,500
700,300,700,700,700,700,300,700,700,300,300,500
500,300,700,700,700,300,700,300,500,300,700,700
300,300,500,300,500,300,300,700,300,700,500,700
500,300,700,700,500,700,300,700,500,300,500,500
700,300,300,700,700,300,300,500,500,700,700,500
300,700,500,700,500,700,700,700,700,700,300,500
500,500,700,300,700,700,700,700,700,500,500,700
700,700,500,500,500,700,700,500,700,500,500,500
300,700,700,300,500,700,300,700,300,300,300,500
500,700,700,300,700,500,300,500,500,300,500,300
700,500,700,700,300,300,500,700,700,300,300,500
700,300,300,300,500,300,700,500,300,300,300,700
500,700,700,700,700,500,500,500,500,700,700,300
500,700,700,700,500,500,700,500,300,500,700,700
300,300,700,300,300,300,700,300,500,700,700,500
500,500,700,500,700,300,300,300,700,500,300,300
300,300,700,500,500,700,500,300,700,700,300,700
700,300,700,700,500,500,700,300,700,300,500,700
300,700,700,500,300,300,700,300,700,500,700,700
700,500,500,700,500,700,700,300,300,300,300,500
700,500,700,300,500,500,500,700,500,700,700,300
500,500,700,300,500,300,700,300,300,700,500,700
500,500,300,500,500,700,300,700,700,700,700,300
700,500,700,500,700,700,500,300,300,500,700,500
500,300,300,700,700,700,300,500,300,500,500,300
300,700,300,500,500,300,500,500,500,500,500,300
500,300,700,500,500,300,700,700,700,500,500,700
500,300,500,700,700,500,700,700,500,500,300,500
500,700,700,300,700,700,500,300,300,300,300,300
700,500,300,300,300,500,500,500,700,700,300,300
700,700,700,700,300,700,300,500,300,700,300,500
500,500,500,500,300,700,500,700,300,300,500,500
